time,percentage,adc,dry_value,wet_value
2024-08-14T06:00:24.574158,99.02,6372,16700,6270
2024-08-14T07:00:24.895193,99.13,6361,16700,6270
2024-08-14T08:00:24.796676,99.33,6340,16700,6270
2024-08-14T09:00:24.349731,99.15,6359,16700,6270
2024-08-14T10:00:25.212714,98.85,6390,16700,6270
2024-08-14T11:00:25.181650,98.17,6461,16700,6270
2024-08-14T12:00:25.694635,97.08,6575,16700,6270
2024-08-14T13:00:25.756451,96.5,6635,16700,6270
2024-08-14T14:00:25.500670,97.29,6553,16700,6270
2024-08-14T15:00:25.049295,97.71,6509,16700,6270
2024-08-14T16:00:25.336963,97.04,6579,16700,6270
2024-08-14T17:00:25.405198,96.47,6638,16700,6270
2024-08-14T18:00:25.180873,96.23,6663,16700,6270
2024-08-14T19:00:25.468824,96.17,6669,16700,6270
2024-08-14T20:00:25.980598,96.43,6642,16700,6270
2024-08-14T21:00:26.044421,97.63,6517,16700,6270
2024-08-14T22:00:26.392715,97.68,6512,16700,6270
2024-08-14T23:00:25.688792,98.1,6468,16700,6270
2024-08-15T00:00:35.348630,98.04,6474,16700,6270
2024-08-15T01:00:52.116627,98.64,6412,16700,6270
2024-08-15T02:00:52.116584,98.93,6382,16700,6270
2024-08-15T03:00:52.116626,99.55,6317,16700,6270
2024-08-15T04:00:52.116636,99.24,6349,16700,6270
2024-08-15T05:00:52.116610,99.52,6320,16700,6270
2024-08-15T06:00:52.116646,99.65,6307,16700,6270
2024-08-15T07:00:52.120648,99.94,6276,16700,6270
2024-08-15T08:00:52.212337,100.0,6252,16700,6270
2024-08-15T09:00:52.116619,99.9,6280,16700,6270
2024-08-15T10:00:52.116636,99.16,6358,16700,6270
2024-08-15T11:00:52.116638,98.26,6452,16700,6270
2024-08-15T12:00:52.116587,97.7,6510,16700,6270
2024-08-15T13:00:28.116628,97.14,6568,16700,6270
2024-08-15T14:00:27.476636,97.51,6530,16700,6270
2024-08-15T15:00:28.596613,96.79,6605,16700,6270
2024-08-15T16:00:28.052642,96.09,6678,16700,6270
2024-08-15T17:00:27.700617,96.17,6669,16700,6270
2024-08-15T18:00:27.668610,96.32,6654,16700,6270
2024-08-15T19:00:27.412575,96.83,6601,16700,6270
