time,mean_gray
2024-06-11T15:10:15.030569,28
2024-06-11T15:20:15.031104,28
2024-06-11T15:30:15.030660,28
2024-06-11T15:40:15.030829,28
2024-06-11T15:50:15.030786,28
2024-06-11T16:00:15.030535,28
2024-06-11T16:10:15.030603,28
2024-06-11T16:20:15.030716,28
2024-06-11T16:30:15.079693,28
2024-06-11T16:40:14.998896,28
2024-06-11T16:50:14.998905,28
2024-06-11T17:00:15.062604,28
2024-06-11T17:10:15.030781,28
2024-06-11T17:20:15.030741,28
2024-06-11T17:30:14.998767,28
2024-06-11T17:40:15.031334,28
2024-06-11T17:50:15.031051,28
2024-06-11T18:00:15.030640,28
2024-06-11T18:10:15.030658,28
2024-06-11T18:20:15.030746,28
2024-06-11T18:30:15.030777,28
2024-06-11T18:40:14.866999,28
2024-06-11T18:50:14.998932,28
2024-06-11T19:00:15.030811,28
2024-06-11T19:10:15.030546,28
2024-06-11T19:20:15.030843,28
2024-06-11T19:30:15.030956,28
2024-06-11T19:40:14.834811,28
2024-06-11T19:50:15.063026,28
2024-06-11T20:00:15.030744,28
2024-06-11T20:10:15.030848,28
2024-06-11T20:20:15.031008,28
2024-06-11T20:30:15.062980,28
2024-06-11T20:40:15.031567,28
2024-06-11T20:50:15.031139,28
2024-06-11T21:00:15.030909,28
2024-06-11T21:10:14.835220,28
2024-06-11T21:20:15.031030,28
2024-06-11T21:30:15.030991,28
2024-06-11T21:40:15.030871,28
2024-06-11T21:50:15.031135,28
2024-06-11T22:00:15.030887,28
2024-06-11T22:10:15.030786,28
2024-06-11T22:20:15.030944,28
2024-06-11T22:30:15.031504,28
2024-06-11T22:40:15.063043,28
2024-06-11T22:50:15.030808,28
2024-06-11T23:00:15.031215,28
2024-06-11T23:10:15.040769,28
2024-06-11T23:20:15.031003,28
2024-06-11T23:30:15.031152,28
2024-06-11T23:40:15.008421,28
2024-06-11T23:50:15.009128,28
2024-06-12T00:00:15.044016,28
2024-06-12T00:10:15.029987,28
2024-06-12T00:20:15.029948,28
2024-06-12T00:30:15.030173,28
2024-06-12T00:40:15.006920,27
2024-06-12T00:50:15.007740,27
2024-06-12T01:00:15.029941,28
2024-06-12T01:10:15.029952,28
2024-06-12T01:20:15.030033,28
2024-06-12T01:30:15.030078,28
2024-06-12T01:40:15.007588,28
2024-06-12T01:50:15.030343,28
2024-06-12T02:00:15.045381,27
2024-06-12T02:10:14.998037,27
2024-06-12T02:20:15.030088,27
2024-06-12T02:30:15.007500,27
2024-06-12T02:40:15.007552,27
2024-06-12T02:50:15.030363,27
2024-06-12T03:00:15.052729,27
2024-06-12T03:10:15.007275,27
2024-06-12T03:20:15.005897,27
2024-06-12T03:30:15.006206,27
2024-06-12T03:40:15.006071,27
2024-06-12T03:50:15.007915,28
2024-06-12T04:00:15.038215,27
2024-06-12T04:10:15.007254,27
2024-06-12T04:20:15.006639,28
2024-06-12T04:30:14.998259,28
2024-06-12T04:40:15.030194,28
2024-06-12T04:50:15.006214,28
2024-06-12T05:00:15.030432,28
2024-06-12T05:10:15.030108,28
2024-06-12T05:20:15.006733,28
2024-06-12T05:30:15.007129,27
2024-06-12T05:40:15.030546,28
2024-06-12T05:50:15.005682,28
2024-06-12T06:00:14.812888,28
2024-06-12T06:10:15.006470,28
2024-06-12T06:20:15.006387,28
2024-06-12T06:30:15.006154,28
2024-06-12T06:40:15.015166,28
2024-06-12T06:50:15.003415,28
2024-06-12T07:00:15.030731,28
2024-06-12T07:10:15.003023,28
2024-06-12T07:20:15.030430,28
2024-06-12T07:30:15.040760,27
2024-06-12T07:40:15.006457,28
2024-06-12T07:50:15.004542,28
2024-06-12T08:00:15.003158,28
2024-06-12T08:10:15.029967,28
2024-06-12T08:20:15.038965,28
2024-06-12T08:30:15.030996,28
2024-06-12T08:40:15.016348,28
2024-06-12T08:50:14.998700,28
2024-06-12T09:00:15.030340,28
2024-06-12T09:10:15.012534,28
2024-06-12T09:20:14.811616,28
2024-06-12T09:30:14.998204,28
2024-06-12T09:40:15.009306,28
2024-06-12T09:50:15.002637,28
2024-06-12T10:00:15.096066,28
2024-06-12T10:10:15.030323,28
2024-06-12T10:20:15.040339,28
2024-06-12T10:30:15.039873,28
2024-06-12T10:40:15.067327,28
2024-06-12T10:50:15.003085,28
2024-06-12T11:00:15.040031,28
2024-06-12T11:10:15.053015,28
2024-06-12T11:20:15.008286,28
2024-06-12T11:30:15.008518,27
2024-06-12T11:40:15.005816,28
2024-06-12T11:50:15.004969,28
2024-06-12T12:00:14.998335,27
2024-06-12T12:10:15.042219,28
2024-06-12T12:20:15.041549,28
2024-06-12T12:30:15.030689,28
2024-06-12T12:40:14.998636,28
2024-06-12T12:50:15.030795,28
2024-06-12T13:00:15.030417,28
2024-06-12T13:10:14.998599,28
2024-06-12T13:20:14.998692,28
2024-06-12T13:30:14.998730,28
2024-06-12T13:40:14.998757,28
2024-06-12T13:50:15.030867,28
2024-06-12T14:00:14.998466,28
2024-06-12T14:10:14.998540,28
2024-06-12T14:20:15.030452,28
2024-06-12T14:30:15.030598,28
2024-06-12T14:40:15.030732,27
2024-06-12T14:50:15.030754,28
2024-06-12T15:00:14.998650,27
2024-06-12T15:10:14.998490,27
2024-06-12T15:20:15.030596,28
2024-06-12T15:30:14.998640,28
2024-06-12T15:40:14.998666,27
2024-06-12T15:50:15.030868,27
2024-06-12T16:00:14.998740,27
2024-06-12T16:10:14.998701,27
2024-06-12T16:20:15.030620,27
2024-06-12T16:30:14.998591,27
2024-06-12T16:40:14.998914,27
2024-06-12T16:50:15.031010,28
2024-06-12T17:00:15.094625,27
2024-06-12T17:10:14.999076,27
2024-06-12T17:20:14.998626,27
2024-06-12T17:30:14.998634,27
2024-06-12T17:40:15.044636,27
2024-06-12T17:50:14.999006,27
2024-06-12T18:00:15.030787,27
2024-06-12T18:10:14.998663,27
2024-06-12T18:20:14.998883,27
2024-06-12T18:30:14.998600,27
2024-06-12T18:40:14.998908,27
2024-06-12T18:50:15.030830,27
2024-06-12T19:00:14.998671,27
2024-06-12T19:10:15.030712,27
2024-06-12T19:20:14.998769,27
2024-06-12T19:30:14.998927,27
2024-06-12T19:40:14.998879,27
2024-06-12T19:50:14.998885,27
2024-06-12T20:00:15.030807,27
